Location,distance_f,distance_u,seed1,Year.1,team_fav,power_fav,seed2,team_under,power_under,win_home,W-L%_f,SRS_f,SOS_f,w-l%_pct_conf_f,PTS/G_f,PTSopp/G_,FG/G_f,FGA/G_f,FG%_f,3P/G_f,3PA/G_f,3P%_f,FT/G_f,FTA/G_f,ORB/G_f,TRB/G_f,AST/G_f,STL/G_f,BLK/G_f,TOV/G_f,PF/G_f,W-L%_u,SRS_u,SOS_u,w-l%_pct_conf_u,PTS/G_u,PTSopp/G_u,FG/G_u,FGA/G_u,FG%_u,3P/G_u,3PA/G_u,3P%_u,FT/G_u,FTA/G_u,ORB/G_u,TRB/G_u,AST/G_u,STL/G_u,BLK/G_u,TOV/G_u,PF/G_u
"Salt Lake City, UT",1,2,2,2017,Arizona,1,7,Saint Mary's (CA),0,1,0.865,18.25,7.63,0.9375,76.56756757,65.94594595,31.05405405,61.62162162,0.504,57.2,20.24324324,0.382,17.24324324,24.05405405,10.21621622,42.89189189,16.08108108,7.162162162,36.6,12.10810811,17.83783784,0.853,16.75,2.19,0.888888889,72.02941176,57.47058824,26.23529412,52.85294118,0.496,8.617647059,21.88235294,0.394,10.94117647,14.67647059,9.529411765,35.44117647,16.55882353,4.205882353,3.235294118,10.73529412,15.05882353
"Indianapolis, IN",0,0,2,2017,Kentucky,1,15,Northern Kentucky,0,1,0.842,23.88,10.49,0.882352941,84.86842105,71.47368421,27.13157895,57.52631579,0.472,57.33333333,22.63157895,0.4,11.13157895,15.89473684,8.368421053,32.07894737,14.55263158,7.157894737,20.66666667,9.342105263,14.65789474,0.686,-0.17,-2.84,0.666666667,75.97142857,71.62857143,26.51428571,58.2,0.456,8.571428571,24.54285714,0.349,14.37142857,21.14285714,11.17142857,37.68571429,13.88571429,5.714285714,2.8,13.37142857,17.77142857
"Salt Lake City, UT",1,2,2,2017,Arizona,1,15,North Dakota,0,1,0.865,18.25,7.63,0.9375,76.56756757,65.94594595,26.18918919,57.18918919,0.458,52.8,20.64864865,0.346,12.75675676,18.59459459,11.81081081,35.89189189,15.05405405,7.054054054,34.6,9.756756757,15.2972973,0.688,-1.83,-5.45,0.777777778,80.5625,73.65625,28.9375,59.96875,0.483,7.125,18.28125,0.39,15.5625,21.8125,9.28125,35.8125,15.21875,7.84375,2.90625,13.09375,21
"Indianapolis, IN",0,0,2,2017,Louisville,1,7,Michigan,1,0,0.684,18.8,10.17,0.555555556,75.02631579,66.39473684,26.36842105,54.63157895,0.483,9.5,24.65789474,0.385,12.78947368,16.42105263,10.66666667,29.23684211,13.86842105,5.789473684,2.842105263,9.157894737,15.02631579,0.735,22.47,11.15,0.941176471,77.29411765,65.97058824,23.64705882,52.79411765,0.448,26.55555556,18.97058824,0.371,13.88235294,20.08823529,8.647058824,32.38235294,13.85294118,6.411764706,10.88888889,12.11764706,16.73529412
"Indianapolis, IN",2,0,2,2017,Louisville,1,15,Jacksonville State,1,0,0.571,-2.85,-3.24,0.5625,69.54285714,67.94285714,24.48571429,53.4,0.459,7.371428571,19.57142857,0.377,13.2,18.48571429,10.14285714,35.54285714,14.08571429,4.485714286,3.828571429,13.62857143,17.94285714,0.735,22.47,11.15,0.941176471,77.29411765,65.97058824,28.02941176,62.29411765,0.45,30.88888889,22.82352941,0.358,18.23529412,25.02941176,12.23529412,39.14705882,13.23529412,8,18.55555556,12.67647059,19.44117647
"Orlando, FL",0,2,3,2017,Florida State,1,11,Xavier,0,0,0.743,18.87,8.87,1,82.08571429,72.08571429,30.25714286,66.65714286,0.454,30.55555556,21.68571429,0.362,17.74285714,25.91428571,15.25714286,39.62857143,17.34285714,10.6,19.55555556,13,21.6,0.632,14.8,11.51,0.5,74.63157895,71.34210526,25.81578947,56.52631579,0.457,7.026315789,20.42105263,0.344,15.97368421,23.18421053,11.86842105,37.28947368,14.71052632,6,2.631578947,12.57894737,18.63157895
"Tulsa, OK",0,2,3,2017,Baylor,1,11,Southern California,1,1,0.771,19.75,11.87,0.882352941,72.85714286,63.65714286,27.2,59.57142857,0.457,29.75,19.14285714,0.355,13.88571429,20.22857143,13.05714286,38.37142857,13.17142857,6.485714286,23.25,10.68571429,18.62857143,0.722,11.48,6.4,0.555555556,78.22222222,73.13888889,27.08333333,59.41666667,0.456,7.861111111,21.72222222,0.362,16.19444444,21.86111111,10.75,35.72222222,15.27777778,7,5.277777778,11.05555556,15.86111111
"New York, NY",2,1,3,2017,Baylor,1,7,South Carolina,1,0,0.771,19.75,11.87,0.882352941,72.85714286,63.65714286,26.37142857,55.85714286,0.472,33.5,19.91428571,0.385,17.68571429,22.71428571,9.971428571,34.25714286,14.62857143,5.228571429,15.125,11.11428571,19.08571429,0.703,17.52,10.16,0.666666667,73.16216216,65.24324324,24.97297297,59.37837838,0.421,6.702702703,19.81081081,0.338,16.51351351,23.62162162,12.54054054,36.37837838,12.64864865,7.783783784,3.837837838,12.97297297,20.2972973
"Sacramento, CA",0,2,3,2017,Oregon,1,11,Rhode Island,0,1,0.846,20.8,8.38,1,78.87179487,65.76923077,22.48717949,50.69230769,0.444,43.5,18.71794872,0.358,11.05128205,16.41025641,7.076923077,27.74358974,10.33333333,5.692307692,23.66666667,12.1025641,16.41025641,0.714,12.88,4.62,0.722222222,73.62857143,65.37142857,26.17142857,57.68571429,0.454,6.2,18.65714286,0.332,15.08571429,22.6,11.68571429,37.17142857,13.34285714,6.485714286,5.885714286,11.11428571,20.71428571
"Tulsa, OK",0,1,3,2017,Baylor,1,14,New Mexico State,0,1,0.771,19.75,11.87,0.882352941,72.85714286,63.65714286,30.8,61.05714286,0.504,38,21.88571429,0.397,11.54285714,16.91428571,8.257142857,34.94285714,17.08571429,6.085714286,12.75,12.42857143,16.62857143,0.824,4.66,-3.82,0.785714286,78.76470588,67.94117647,26.85294118,57.55882353,0.467,7.411764706,21.97058824,0.337,17.64705882,24.79411765,12.58823529,39.38235294,14.85294118,4.882352941,3.764705882,13.67647059,18.44117647
"Kansas City, MO",1,2,3,2017,Oregon,1,7,Michigan,1,0,0.684,18.8,10.17,0.555555556,75.02631579,66.39473684,26.36842105,54.63157895,0.483,9.5,24.65789474,0.385,12.78947368,16.42105263,8.055555556,29.23684211,13.86842105,5.789473684,2.842105263,9.157894737,15.02631579,0.846,20.8,8.38,1,78.87179487,65.76923077,25.12820513,54.84615385,0.458,55.66666667,22.28205128,0.384,12.53846154,15.66666667,8.564102564,31.07692308,14.51282051,6.538461538,22.33333333,8.743589744,13.66666667
"Orlando, FL",0,0,3,2017,Florida State,1,14,Florida Gulf Coast,1,0,0.765,2.26,-3.42,0.857142857,79.44117647,69.29411765,29.61764706,59.32352941,0.499,6.5,18.70588235,0.347,13.70588235,19.52941176,11.91428571,37.32352941,15.5,6.088235294,3.411764706,12.38235294,18.67647059,0.743,18.87,8.87,1,82.08571429,72.08571429,30.6,62.65714286,0.488,35.33333333,22.48571429,0.404,15.28571429,22.54285714,12.22857143,39.8,16.68571429,7.142857143,18,13.02857143,18.25714286
"Sacramento, CA",2,0,3,2017,UCLA,1,6,Cincinnati,1,1,0.833,18.43,5.49,0.888888889,74.27777778,61.33333333,26.91666667,58.77777778,0.458,7.333333333,21.22222222,0.346,13.11111111,19.11111111,11.26470588,36.88888889,15.47222222,7.25,4.805555556,10.02777778,15.72222222,0.861,20.67,6.39,0.941176471,89.80555556,75.52777778,28.77777778,59.61111111,0.483,46.6,18.63888889,0.347,15.77777778,22.88888889,11.36111111,36.77777778,14.19444444,7.194444444,36,11.52777778,19
"Sacramento, CA",2,0,3,2017,Oregon,1,14,Iona,1,0,0.629,1.08,-2.47,0.6,80.37142857,76.82857143,27.97142857,61.57142857,0.454,9.771428571,24.62857143,0.397,14.65714286,19.08571429,11.61764706,35.71428571,15.45714286,6.828571429,3.085714286,12.02857143,19.11428571,0.846,20.8,8.38,1,78.87179487,65.76923077,26.12820513,54.97435897,0.475,51.83333333,21.07692308,0.378,16.46153846,21.58974359,10,34.38461538,12.41025641,5.794871795,28.66666667,10.79487179,17.30769231
"Sacramento, CA",2,0,3,2017,UCLA,1,14,Kent State,1,0,0.611,0.88,-1.63,0.555555556,77,73,27.38888889,63.94444444,0.428,7.138888889,22.30555556,0.32,15.08333333,20.97222222,14.97222222,40.38888889,12.47222222,6.388888889,3.722222222,12.91666667,19.02777778,0.861,20.67,6.39,0.941176471,89.80555556,75.52777778,22.77777778,48.97222222,0.465,51.6,18.63888889,0.385,14.72222222,21.33333333,7.694444444,30.47222222,13.88888889,6.916666667,25.6,10.44444444,16.69444444
"New York, NY",2,1,4,2017,Florida,1,8,Wisconsin,1,1,0.75,22.4,11.01,0.9,77.88888889,66.5,34.05555556,73.13888889,0.466,31.44444444,22.16666667,0.355,17.83333333,25.44444444,17.5,48.55555556,20.05555556,7.861111111,15.44444444,13.13888889,19.75,0.73,19.4,9.4,0.666666667,72.37837838,62.37837838,26.24324324,57.7027027,0.455,7.648648649,21.2972973,0.359,12.24324324,19,11.37142857,37.21621622,13.62162162,6.756756757,3.513513514,11.10810811,16.27027027
"Milwaukee, WI",0,0,4,2017,Butler,0,13,Winthrop,0,1,0.735,17.7,10.23,0.8125,76.32352941,68.85294118,28.02941176,62.29411765,0.45,30.88888889,22.82352941,0.358,18.23529412,25.02941176,12.23529412,39.14705882,13.23529412,8,18.55555556,12.67647059,19.44117647,0.788,1.34,-6.12,0.833333333,79.24242424,70.36363636,27,59.3030303,0.455,9.484848485,25.42424242,0.373,15.75757576,21.96969697,9.575757576,37.09090909,12.81818182,6.545454545,5.121212121,13.03030303,18.33333333
"Orlando, FL",0,2,4,2017,Florida,1,5,Virginia,1,1,0.75,22.4,11.01,0.9,77.88888889,66.5,27.13888889,56.88888889,0.477,27.11111111,17.36111111,0.39,17.63888889,23.05555556,10.55555556,37.72222222,13.91666667,5.583333333,13.22222222,11.47222222,17.36111111,0.676,20.63,10.93,0.611111111,66.05882353,56.35294118,24.67647059,53.61764706,0.46,6.823529412,17.70588235,0.385,9.882352941,13.94117647,8.735294118,32.91176471,13.91176471,5.588235294,4.058823529,9.529411765,16.35294118
"Milwaukee, WI",0,1,4,2017,Purdue,1,13,Vermont,1,1,0.771,20.13,8.79,0.882352941,79.71428571,68.37142857,32.82857143,65.14285714,0.504,35.75,21.4,0.382,18.22857143,25.42857143,10.8,45.34285714,17,7.571428571,22.875,12.8,18.85714286,0.829,6.67,-3.27,1,73.45714286,62.11428571,26.94285714,54.54285714,0.494,6.542857143,17.74285714,0.369,13.02857143,18.6,9.314285714,34.05714286,13.6,5.685714286,4.314285714,11.2,15.85714286
"New York, NY",2,1,4,2017,Florida,1,7,South Carolina,1,0,0.75,22.4,11.01,0.9,77.88888889,66.5,25.38888889,53.72222222,0.473,31.77777778,19.58333333,0.406,13.47222222,19.33333333,11.55555556,37.08333333,15.72222222,5.555555556,13,10.47222222,14.05555556,0.703,17.52,10.16,0.666666667,73.16216216,65.24324324,24.97297297,59.37837838,0.421,6.702702703,19.81081081,0.338,16.51351351,23.62162162,12.54054054,36.37837838,12.64864865,7.783783784,3.837837838,12.97297297,20.2972973
"Buffalo, NY",0,0,4,2017,West Virginia,1,5,Notre Dame,1,1,0.757,24.45,9.67,0.888888889,81.45945946,66.67567568,28,58,0.483,25.88888889,18.13513514,0.347,15.35135135,22.27027027,11.05405405,35.78378378,13.81081081,7,20,11.21621622,18.48648649,0.722,17.81,9.78,0.666666667,77.30555556,69.27777778,27.22222222,59.41666667,0.458,9.277777778,24.13888889,0.384,13.58333333,16.97222222,9.277777778,33.66666667,15.72222222,7.083333333,3.722222222,9.472222222,14.80555556
"Milwaukee, WI",0,0,4,2017,Purdue,1,5,Iowa State,1,0,0.686,20.51,11.94,0.666666667,80.82857143,72.25714286,29.45714286,62.45714286,0.472,9.828571429,24.57142857,0.4,12.08571429,17.25714286,9.085714286,34.82857143,15.8,7.771428571,3.542857143,10.14285714,15.91428571,0.771,20.13,8.79,0.882352941,79.71428571,68.37142857,23.22857143,51.42857143,0.452,26.125,16.77142857,0.356,12.65714286,17.62857143,10.37142857,33.6,11.11428571,6.085714286,15.625,11.91428571,14.65714286
"Buffalo, NY",0,0,4,2017,West Virginia,1,13,Bucknell,1,1,0.743,5.89,-2.48,0.833333333,76.25714286,67.88571429,26.91428571,56.02857143,0.48,8.171428571,21.54285714,0.379,14.2,20.85714286,9.058823529,34.37142857,14.57142857,7.2,3.828571429,13.31428571,18.71428571,0.757,24.45,9.67,0.888888889,81.45945946,66.67567568,30.64864865,64.75675676,0.473,29.66666667,20.45945946,0.353,18.64864865,26.48648649,12.7027027,40.86486486,15.81081081,6.189189189,22.22222222,11.97297297,19.35135135
"Milwaukee, WI",1,0,4,2017,Butler,0,12,Middle Tennessee,1,0,0.861,9.8,-0.48,0.944444444,74.91666667,63.86111111,28.16666667,57.69444444,0.488,6.333333333,17.27777778,0.367,12.25,17.52777778,10.54285714,35.36111111,15.33333333,6.722222222,2.777777778,10.38888889,18.19444444,0.735,17.7,10.23,0.8125,76.32352941,68.85294118,33.79411765,67.05882353,0.504,31.77777778,22.02941176,0.382,18.76470588,26.17647059,11.11764706,46.67647059,17.5,7.794117647,20.33333333,13.17647059,19.41176471
"Orlando, FL",2,0,4,2017,Florida,1,13,East Tennessee State,1,0,0.771,7.31,-2.11,0.777777778,79.48571429,69.65714286,27.42857143,56.2,0.488,7.571428571,19.8,0.382,17.05714286,24.28571429,10.2,36.25714286,14.74285714,8.371428571,4.628571429,14.82857143,19.94285714,0.75,22.4,11.01,0.9,77.88888889,66.5,28.30555556,59.55555556,0.475,34.55555556,22.83333333,0.378,17.83333333,23.38888889,10.83333333,37.25,13.44444444,6.277777778,19.11111111,11.69444444,18.75
"Buffalo, NY",0,0,5,2017,Notre Dame,1,12,Princeton,0,1,0.722,17.81,9.78,0.888888889,77.30555556,69.27777778,34.05555556,73.13888889,0.466,28.3,22.16666667,0.355,17.83333333,25.44444444,17.5,48.55555556,20.05555556,7.861111111,13.9,13.13888889,19.75,0.767,6.57,-1.84,1,71.63333333,61.43333333,25.73333333,57.2,0.45,9.933333333,26.3,0.378,10.23333333,13.86666667,8.233333333,33.43333333,14.2,6.666666667,3.1,9.933333333,16.06666667
"Orlando, FL",1,1,5,2017,Virginia,1,12,North Carolina-Wilmington,0,1,0.676,20.63,10.93,0.75,66.05882353,56.35294118,28,61.32352941,0.457,21.63636364,19.70588235,0.355,14.29411765,20.82352941,13.44117647,39.5,13.55882353,6.676470588,16.90909091,11,19.17647059,0.829,8.06,-0.55,0.833333333,84.77142857,74.97142857,30.6,63.74285714,0.48,9.6,26.2,0.366,13.97142857,20.22857143,12.05714286,36.02857143,16.11428571,6.685714286,3.285714286,10.37142857,19.97142857
"Milwaukee, WI",0,2,5,2017,Iowa State,1,12,Nevada,0,1,0.686,20.51,11.94,0.8,80.82857143,72.25714286,32.82857143,65.14285714,0.504,26,21.4,0.382,18.22857143,25.42857143,10.8,45.34285714,17,7.571428571,16.63636364,12.8,18.85714286,0.344,-3.75,2.59,0.222222222,68.8125,75.15625,23.34375,59.15625,0.395,6.65625,20.8125,0.32,15.46875,22.21875,11.40625,37.8125,12.875,5.90625,2.65625,12.8125,16.84375
"Milwaukee, WI",0,1,5,2017,Minnesota,1,12,Middle Tennessee,0,0,0.706,14.56,8.82,0.85,75.17647059,69.44117647,35.58823529,68.23529412,0.522,35.4,25.64705882,0.406,13.5,18.29411765,10.08823529,40.76470588,22.67647059,6.235294118,19.1,11.88235294,17.14705882,0.861,9.8,-0.48,0.944444444,74.91666667,63.86111111,28.16666667,57.69444444,0.488,6.333333333,17.27777778,0.367,12.25,17.52777778,9.861111111,35.36111111,15.33333333,6.722222222,2.777777778,10.38888889,18.19444444
"Orlando, FL",2,2,6,2017,Maryland,1,11,Xavier,0,0,0.727,12.79,8.29,0.722222222,73.87878788,68.06060606,29.24242424,59.03030303,0.495,34.55555556,25.54545455,0.369,16.3030303,20.63636364,9.575757576,36.60606061,15.3030303,7.848484848,12.11111111,12.18181818,15.60606061,0.632,14.8,11.51,0.5,74.63157895,71.34210526,25.81578947,56.52631579,0.457,7.026315789,20.42105263,0.344,15.97368421,23.18421053,11.86842105,37.28947368,14.71052632,6,2.631578947,12.57894737,18.63157895
"Tulsa, OK",0,2,6,2017,Southern Methodist,0,11,Southern California,1,0,0.857,18.71,4.45,1,74.25714286,60,31.17142857,64.85714286,0.481,66.8,25.14285714,0.38,16,22.48571429,11.77142857,40.88571429,17.54285714,7.228571429,49.6,12.97142857,17.54285714,0.722,11.48,6.4,0.555555556,78.22222222,73.13888889,27.08333333,59.41666667,0.456,7.861111111,21.72222222,0.362,16.19444444,21.86111111,10.75,35.72222222,15.27777778,7,5.277777778,11.05555556,15.86111111
"Sacramento, CA",2,2,6,2017,Creighton,0,11,Rhode Island,0,0,0.714,17.27,8.95,0.764705882,81.82857143,72.82857143,27.57142857,55.65714286,0.495,31.1,24.08571429,0.369,15.37142857,19.45714286,9.028571429,34.51428571,14.42857143,7.4,10.9,11.48571429,14.71428571,0.714,12.88,4.62,0.722222222,73.62857143,65.37142857,26.17142857,57.68571429,0.454,6.2,18.65714286,0.332,15.08571429,22.6,11.68571429,37.17142857,13.34285714,6.485714286,5.885714286,11.11428571,20.71428571
"Sacramento, CA",2,2,6,2017,Cincinnati,1,11,Kansas State,1,0,0.6,14.8,10.48,0.444444444,72.08571429,67.77142857,24.82857143,53.8,0.461,7.057142857,19.51428571,0.362,15.37142857,22.14285714,9.428571429,32.34285714,14.88571429,7.742857143,3.714285714,12.94285714,18,0.833,18.43,5.49,1,74.27777778,61.33333333,26.47222222,58.83333333,0.45,46.33333333,21.55555556,0.358,17.22222222,23.63888889,11.55555556,36.97222222,12.5,7.555555556,27.83333333,11.97222222,18.36111111
"Indianapolis, IN",0,0,7,2017,Dayton,0,10,Wichita State,0,0,0.75,12.98,4.27,0.9375,75.875,66.4375,30.625,63.875,0.479,39.375,24.4375,0.403,16.09375,21.25,10.75,41.3125,20,5.65625,10.875,14.21875,17.25,0.861,21.24,2.96,0.944444444,81,62.38888889,27.55555556,58.72222222,0.469,8.611111111,21.36111111,0.403,17.27777778,23.55555556,13.12820513,40.88888889,16.27777778,6.527777778,3.888888889,11.27777778,18.77777778
"Salt Lake City, UT",1,2,7,2017,Saint Mary's (CA),0,10,Virginia Commonwealth,0,1,0.853,16.75,2.19,0.882352941,72.02941176,57.47058824,31.5,64.5,0.488,63.6,23.14705882,0.404,15.73529412,23.20588235,12.58823529,40.97058824,17.17647059,7.352941176,32.4,13.41176471,18.79411765,0.743,11.57,3.77,0.777777778,74.74285714,66.94285714,27,58.57142857,0.461,5.685714286,17.2,0.331,15.05714286,21.34285714,11.02857143,36.42857143,15,7.514285714,3.942857143,12.42857143,20.8
"Indianapolis, IN",0,1,7,2017,Michigan,1,10,Oklahoma State,1,1,0.684,18.8,10.17,0.833333333,75.02631579,66.39473684,32.26315789,69.28947368,0.466,23.58333333,21,0.355,16.89473684,24.10526316,16.57894737,46,19,7.447368421,11.58333333,12.44736842,18.71052632,0.606,19.19,12.22,0.5,85.6969697,78.45454545,29,62.12121212,0.467,8.909090909,22.18181818,0.402,18.78787879,23.81818182,9.764705882,36.81818182,14.72727273,7.636363636,3,13.09090909,22.12121212
"Greenville, SC",2,0,7,2017,South Carolina,1,10,Marquette,1,0,0.594,15.26,8.6,0.555555556,82.21875,75.5625,28.71875,59,0.487,10.5,24.46875,0.429,14.28125,18.28125,8.75,33.0625,16.40625,7.21875,3.59375,12.375,19.375,0.703,17.52,10.16,0.833333333,73.16216216,65.24324324,24.48648649,51.2972973,0.477,23.72727273,19.2972973,0.366,14.10810811,19.02702703,7.756756757,29.48648649,12.24324324,5.567567568,8.727272727,9.351351351,17.2972973
"Salt Lake City, UT",2,2,8,2017,Northwestern,1,9,Vanderbilt,1,1,0.667,14.02,8.43,0.777777778,71.05555556,65.47222222,34.05555556,73.13888889,0.466,23.58333333,22.16666667,0.355,17.83333333,25.44444444,17.5,48.55555556,20.05555556,7.861111111,11.58333333,13.13888889,19.75,0.543,13.69,10.72,0.555555556,71.11428571,68.14285714,23.28571429,54.17142857,0.43,9.885714286,26.31428571,0.376,14.65714286,18.85714286,8.171428571,34.51428571,12.85714286,4.2,3.8,12.28571429,16.6
"Greenville, SC",1,1,8,2017,Arkansas,1,9,Seton Hall,1,1,0.722,14.04,8.6,0.833333333,79.30555556,73.86111111,29.75,60.91666667,0.488,31.8,21.86111111,0.404,14.86111111,21.91666667,11.88888889,38.69444444,16.22222222,6.944444444,16.2,12.66666667,17.75,0.636,12.1,9.25,0.555555556,73.24242424,70.39393939,26.42424242,59.06060606,0.447,6.121212121,18.12121212,0.338,14.27272727,22.21212121,13.3030303,39.72727273,12.27272727,6.909090909,2.484848485,13.60606061,18.57575758
"Tulsa, OK",2,2,8,2017,Miami (FL),1,9,Michigan State,1,0,0.571,13.67,10.5,0.555555556,71.85714286,68.68571429,25.85714286,55.05714286,0.47,7.8,20.91428571,0.373,12.34285714,18.45714286,11.17948718,36.42857143,16.88571429,4.314285714,4.628571429,14,19.97142857,0.636,14.48,9.57,0.875,69.03030303,64.12121212,32.09090909,70.6969697,0.454,22.91666667,23,0.362,18.81818182,27.48484848,16.18181818,42.03030303,18.39393939,11.24242424,14.66666667,13.78787879,22.90909091
"Dayton, OH",1,2,11,2017,Providence,1,11,Southern California,1,0,0.606,11.24,7.84,0.833333333,70.27272727,66.87878788,29.6969697,61.93939394,0.479,24.23076923,23.6969697,0.403,15.60606061,20.60606061,10.42424242,40.06060606,19.39393939,5.484848485,6.692307692,13.78787879,16.72727273,0.722,11.48,6.4,0.555555556,78.22222222,73.13888889,27.08333333,59.41666667,0.456,7.861111111,21.72222222,0.362,16.19444444,21.86111111,10.75,35.72222222,15.27777778,7,5.277777778,11.05555556,15.86111111
"Dayton, OH",1,0,11,2017,Wake Forest,1,11,Kansas State,1,0,0.6,14.8,10.48,0.444444444,72.08571429,67.77142857,24.82857143,53.8,0.461,7.057142857,19.51428571,0.362,15.37142857,22.14285714,9.428571429,32.34285714,14.88571429,7.742857143,3.714285714,12.94285714,18,0.576,14.19,9.8,0.785714286,82.81818182,78.42424242,36.66666667,70.3030303,0.522,25.28571429,26.42424242,0.406,13.90909091,18.84848485,10.39393939,42,23.36363636,6.424242424,13.64285714,12.24242424,17.66666667
"Milwaukee, WI",1,0,12,2017,Middle Tennessee,0,4,Butler,0,0,0.861,9.8,-0.48,0.944444444,74.91666667,63.86111111,28.16666667,57.69444444,0.488,6.333333333,17.27777778,0.367,12.25,17.52777778,10.54285714,35.36111111,15.33333333,6.722222222,2.777777778,10.38888889,18.19444444,0.735,17.7,10.23,0.8125,76.32352941,68.85294118,33.79411765,67.05882353,0.504,31.77777778,22.02941176,0.382,18.76470588,26.17647059,11.11764706,46.67647059,17.5,7.794117647,20.33333333,13.17647059,19.41176471
"Dayton, OH",1,1,16,2017,Mount St. Mary's,0,16,New Orleans,0,1,0.556,-4.29,-3.51,0.733333333,67.94444444,68.72222222,34.05555556,73.13888889,0.466,17.6875,22.16666667,0.355,17.83333333,25.44444444,17.5,48.55555556,20.05555556,7.861111111,8.6875,13.13888889,19.75,0.625,-4.1,-5.34,0.722222222,72.84375,69.21875,25.9375,54.84375,0.473,4.34375,13.6875,0.317,16.625,23.40625,12.0625,35.625,15.625,7.875,3.03125,16.6875,17.5625
"Houston, TX",2,2,1,2016,North Carolina,1,2,Villanova,1,0,0.825,23.44,10.69,0.9375,82.775,70.025,30.875,64,0.482,32,17.125,0.327,15.425,20.65,14.2,40.6,17.7,6.725,25.28571429,10.775,17.95,0.875,24.08,9.71,0.888888889,77.95,63.575,27.15,56.175,0.483,8.675,23.975,0.362,14.975,19.15,11.26470588,34.625,15.925,7.05,3.4,11,17.025
"Louisville, KY",1,1,1,2016,Kansas,1,2,Villanova,1,0,0.868,23.87,11.22,1,81.28947368,67.63157895,28.73684211,58.07894737,0.495,60.8,19.15789474,0.418,15.81578947,22.18421053,10.57894737,37.97368421,15.89473684,6.657894737,31.6,12.57894737,18.92105263,0.875,24.08,9.71,0.888888889,77.95,63.575,27.15,56.175,0.483,8.675,23.975,0.362,14.975,19.15,8.775,34.625,15.925,7.05,3.4,11,17.025
"Chicago, IL",1,2,1,2016,Virginia,1,10,Syracuse,1,0,0.784,22.04,11.12,1,70.97297297,60.05405405,26.05405405,53.08108108,0.491,28,15.05405405,0.402,12.81081081,17.02702703,8.72972973,32.13513514,14.89189189,5.378378378,14.875,9.324324324,16.10810811,0.622,14.62,9.75,0.5,69.97297297,65.10810811,23.89189189,56.21621622,0.425,8.513513514,23.67567568,0.36,13.67567568,19.89189189,14,35.64864865,13.32432432,8.108108108,4.378378378,11.89189189,16.16216216
"Houston, TX",2,2,1,2016,North Carolina,1,10,Syracuse,1,1,0.825,23.44,10.69,0.9375,82.775,70.025,30.875,64,0.482,32,17.125,0.327,15.425,20.65,14.2,40.6,17.7,6.725,25.28571429,10.775,17.95,0.622,14.62,9.75,0.5,69.97297297,65.10810811,23.89189189,56.21621622,0.425,8.513513514,23.67567568,0.36,13.67567568,19.89189189,14,35.64864865,13.32432432,8.108108108,4.378378378,11.89189189,16.16216216
"Spokane, WA",0,2,1,2016,Oregon,1,8,Saint Joseph's,0,1,0.816,18.05,8.64,1,78.68421053,68.78947368,27.39473684,58.68421053,0.467,37.14285714,19.94736842,0.343,17.05263158,23.84210526,11.63157895,36.36842105,13.60526316,7.236842105,31.57142857,11.34210526,17.76315789,0.778,12.1,4.93,0.722222222,77.22222222,70.05555556,27.11111111,59.80555556,0.453,6.972222222,21.30555556,0.327,16.02777778,22.38888889,9.382352941,38.27777778,14.83333333,5.111111111,3.305555556,9.861111111,16.19444444
"Raleigh, NC",0,1,1,2016,North Carolina,1,9,Providence,1,1,0.825,23.44,10.69,0.9375,82.775,70.025,30.875,64,0.482,32,17.125,0.327,15.425,20.65,14.2,40.6,17.7,6.725,25.28571429,10.775,17.95,0.686,11.94,8.46,0.555555556,73.62857143,70.14285714,25.17142857,59.8,0.421,7.114285714,22.17142857,0.321,16.17142857,22.31428571,12.34285714,36.08571429,15.71428571,6.542857143,3.514285714,11.34285714,16.88571429
"Anaheim, CA",1,2,1,2016,Oregon,1,2,Oklahoma,1,0,0.816,18.05,8.64,1,78.68421053,68.78947368,27.39473684,58.68421053,0.467,37.14285714,19.94736842,0.343,17.05263158,23.84210526,11.63157895,36.36842105,13.60526316,7.236842105,31.57142857,11.34210526,17.76315789,0.784,19.76,11.14,0.666666667,79.67567568,71.05405405,27.51351351,60.13513514,0.458,10.32432432,24.48648649,0.422,14.32432432,19.83783784,11,38.32432432,14.51351351,6.675675676,5.081081081,13.08108108,17.02702703
"Philadelphia, PA",1,1,1,2016,North Carolina,1,6,Notre Dame,1,1,0.825,23.44,10.69,0.9375,82.775,70.025,30.875,64,0.482,32,17.125,0.327,15.425,20.65,14.2,40.6,17.7,6.725,25.28571429,10.775,17.95,0.667,14.1,9.57,0.611111111,75.11111111,70.58333333,27,56.72222222,0.476,7.277777778,19.44444444,0.374,13.83333333,18.63888889,10.58333333,35.13888889,13.33333333,5.472222222,3.972222222,9.972222222,15.11111111
"Raleigh, NC",1,0,1,2016,Virginia,1,9,Butler,1,1,0.667,16.46,7.55,0.555555556,79.93939394,71.03030303,27.81818182,59.66666667,0.466,7.151515152,18.21212121,0.393,17.15151515,23.45454545,8.441176471,36,14.18181818,6.878787879,3.242424242,10.15151515,19.57575758,0.784,22.04,11.12,1,70.97297297,60.05405405,26.05405405,53.08108108,0.491,28,15.05405405,0.402,12.81081081,17.02702703,8.72972973,32.13513514,14.89189189,5.378378378,14.875,9.324324324,16.10810811
