Location,distance_f,distance_u,seed1,Year.1,team_fav,power_fav,seed2,team_under,power_under,win_home,W-L%_f,SRS_f,SOS_f,w-l%_pct_conf_f,PTS/G_f,PTSopp/G_,FG/G_f,FGA/G_f,FG%_f,3P/G_f,3PA/G_f,3P%_f,FT/G_f,FTA/G_f,ORB/G_f,TRB/G_f,AST/G_f,STL/G_f,BLK/G_f,TOV/G_f,PF/G_f,W-L%_u,SRS_u,SOS_u,w-l%_pct_conf_u,PTS/G_u,PTSopp/G_u,FG/G_u,FGA/G_u,FG%_u,3P/G_u,3PA/G_u,3P%_u,FT/G_u,FTA/G_u,ORB/G_u,TRB/G_u,AST/G_u,STL/G_u,BLK/G_u,TOV/G_u,PF/G_u
"Pittsburgh, PA",1,1,2,2018,Duke,1,15,Iona,0,1,0.788,25,9.91,0.722222222,84.6969697,69.60606061,30.54545455,61.93939394,0.493,8.303030303,21.96969697,0.378,15.3030303,21.60606061,13.54545455,41.78787879,17.51515152,7.515151515,5.363636364,12.60606061,15.60606061,0.606,0.96,-2.74,0.611111111,79.84848485,76.15151515,28.21212121,61.09090909,0.462,9.666666667,24.90909091,0.388,13.6969697,18.54545455,8.545454545,33.84848485,15.93939394,6.787878788,3.060606061,11.66666667,18
Nashville,0,0,2,2018,Cincinnati,1,15,Georgia State,0,1,0.882,20.86,3.54,0.888888889,74.47058824,57.14705882,26.26470588,58,0.453,7.294117647,20.44117647,0.357,14.64705882,21.32352941,13.05882353,38.91176471,15.97058824,7.294117647,5.529411765,11.44117647,15.73529412,0.706,3.42,-3.24,0.666666667,75.32352941,67.29411765,26.94117647,58.23529412,0.463,9.264705882,23.88235294,0.388,12.17647059,18,8.764705882,34,13.29411765,7.352941176,4.558823529,11.35294118,18.35294118
Detroit,0,2,2,2018,Purdue,1,15,CS Fulerton,0,1,0.824,24.14,8.64,0.833333333,81.14705882,65.64705882,28.17647059,56.70588235,0.497,9.588235294,22.82352941,0.42,15.20588235,20.47058824,8.441176471,35.02941176,16.70588235,5.823529412,5.029411765,10.67647059,15.52941176,0.645,-0.53,-1.53,0.625,73.22580645,70.03225806,25.35483871,53.90322581,0.47,5.258064516,15.5483871,0.338,17.25806452,23.51612903,8.838709677,35.12903226,12.77419355,6.387096774,3.258064516,14.12903226,17.83870968
Dallas,1,2,3,2018,Tennessee,1,14,Wright State,0,1,0.758,18.62,10.8,0.722222222,74.21212121,66.39393939,25.24242424,57.48484848,0.439,7.848484848,20.45454545,0.384,15.87878788,21,11.66666667,36.18181818,15.81818182,6.303030303,4.484848485,12.21212121,19.57575758,0.735,0.74,-4.42,0.777777778,72.14705882,65.70588235,25.11764706,57.61764706,0.436,6.852941176,20.05882353,0.342,15.05882353,21,10.17647059,36.32352941,13.26470588,6.647058824,2.205882353,13.11764706,15.91176471
Dallas,0,0,3,2018,Texas Tech,1,14,Stephen F. Austin,0,1,0.727,19.57,9.02,0.611111111,75.24242424,64.6969697,26.15151515,56.33333333,0.464,7.03030303,19.21212121,0.366,15.90909091,22.6969697,10.93939394,35.81818182,13.54545455,7.424242424,4.060606061,12.48484848,18.15151515,0.824,2.76,-7.01,0.777777778,81.14705882,68.11764706,28.88235294,59.17647059,0.488,6.970588235,18.73529412,0.372,16.41176471,23.26470588,11.61764706,35.79411765,14.41176471,10.20588235,3.029411765,15.5,21.76470588
Wichita,1,2,3,2018,Michigan ,1,14,Montana,0,1,0.8,18.9,8.78,0.722222222,74.45714286,63.54285714,26.94285714,57.22857143,0.471,9.142857143,24.8,0.369,11.42857143,17.34285714,8.571428571,33.34285714,14.8,6.257142857,3.171428571,9.142857143,15.57142857,0.788,6.56,-2.7,0.888888889,78.12121212,68.72727273,28.06060606,59.54545455,0.471,5.545454545,16.18181818,0.343,16.45454545,23.3030303,11.87878788,37.12121212,12.75757576,7.757575758,3.393939394,12.42424242,21.06060606
Detroit,0,0,3,2018,Michigan State,1,14,Bucknell,0,1,0.879,23.46,7.28,0.888888889,80.96969697,64.78787879,28.57575758,56.72727273,0.504,8.393939394,20.33333333,0.413,15.42424242,20.54545455,11.06060606,40.84848485,19.33333333,4.090909091,7.363636364,13.18181818,18.06060606,0.735,4.27,-4.02,0.888888889,81.14705882,72.85294118,27.70588235,58.67647059,0.472,7.911764706,23.05882353,0.343,17.82352941,24.85294118,9.323529412,36.85294118,14.47058824,5.617647059,4.441176471,12.61764706,18.58823529
Dallas,1,2,3,2018,Tennessee,1,6,Miami (FL),1,1,0.758,18.62,10.8,0.722222222,74.21212121,66.39393939,25.24242424,57.48484848,0.439,7.848484848,20.45454545,0.384,15.87878788,21,11.66666667,36.18181818,15.81818182,6.303030303,4.484848485,12.21212121,19.57575758,0.848,9.37,-0.28,0.833333333,72.42424242,62.24242424,26.33333333,51.93939394,0.507,7.454545455,18.72727273,0.398,12.3030303,17,6.333333333,32.33333333,15.72727273,6.636363636,2.484848485,12.24242424,13.81818182
Dallas,1,1,3,2018,Tennessee,0,11,Loyala Chi.,0,0,0.758,18.62,10.8,0.722222222,74.21212121,66.39393939,25.24242424,57.48484848,0.439,7.848484848,20.45454545,0.384,15.87878788,21,11.66666667,36.18181818,15.81818182,6.303030303,4.484848485,12.21212121,19.57575758,0.735,0.74,-4.42,0.777777778,72.14705882,65.70588235,25.11764706,57.61764706,0.436,6.852941176,20.05882353,0.342,15.05882353,21,10.17647059,36.32352941,13.26470588,6.647058824,2.205882353,13.11764706,15.91176471
Boise,0,2,4,2018,Gonzaga,0,13,North Carolina Green,0,1,0.882,19.43,2.05,0.944444444,84.5,67.11764706,30.85294118,61.32352941,0.503,9.088235294,24.29411765,0.374,13.70588235,18.97058824,11.05882353,39.91176471,15.73529412,6.441176471,3.705882353,11.29411765,17.02941176,0.794,4.48,-4.32,0.833333333,73.47058824,62.38235294,26.35294118,59,0.447,9.647058824,26.88235294,0.359,11.11764706,15.85294118,11.88235294,37.11764706,14.11764706,7.735294118,3.852941176,13.76470588,18.47058824
